"iteration","hp_scenario","contamination","innov_dist","var_scenario","n","rej_our","rej_hl","rej_huber","rej_wmw"
4,"H1","AO","gaussian","iii",200,0,0,0,0
3,"H2","clean","gaussian","ii",500,0,1,1,1
4,"H1","IO","t3","i",500,1,0,0,0
2,"H2","clean","gaussian","iii",500,0,1,1,1
2,"H2","AO","t3","i",500,0,0,0,0
1,"H1","clean","gaussian","ii",500,1,1,1,1
1,"H2","clean","gaussian","i",200,0,0,0,0
1,"H1","IO","t3","i",200,0,0,0,0
5,"H2","clean","gaussian","iii",200,0,1,1,1
1,"H0","IO","t3","iii",200,0,0,0,0
5,"H1","IO","t3","iii",200,1,1,0,1
2,"H0","clean","gaussian","i",200,0,0,0,0
4,"H2","clean","gaussian","i",200,0,1,0,0
2,"H0","IO","gaussian","ii",200,0,0,0,0
1,"H1","clean","gaussian","iii",500,1,1,1,1
5,"H2","IO","t3","i",500,0,0,0,0
3,"H0","IO","gaussian","ii",200,0,1,0,0
1,"H2","IO","t3","i",200,0,0,0,0
3,"H2","clean","gaussian","i",200,1,1,0,1
1,"H1","IO","gaussian","i",500,1,1,1,1
4,"H1","IO","t3","i",200,0,1,1,0
3,"H1","clean","gaussian","i",500,1,1,1,1
3,"H0","IO","t3","i",500,0,0,0,0
4,"H0","clean","gaussian","i",200,0,0,0,0
2,"H1","AO","gaussian","i",500,1,1,1,1
5,"H2","AO","t3","ii",500,0,0,0,0
1,"H1","AO","gaussian","iii",500,1,1,1,1
4,"H2","AO","gaussian","iii",500,1,1,1,1
4,"H1","AO","gaussian","ii",200,0,1,0,0
4,"H2","clean","gaussian","iii",500,1,1,1,1
5,"H1","clean","gaussian","ii",200,0,1,0,1
2,"H0","clean","gaussian","i",500,0,0,0,0
4,"H2","IO","t3","i",500,0,0,0,0
5,"H0","AO","gaussian","i",200,0,0,0,0
3,"H0","AO","gaussian","iii",500,0,0,0,0
2,"H2","clean","gaussian","ii",200,1,1,1,1
1,"H1","clean","t3","ii",200,0,0,0,0
1,"H1","AO","t3","iii",500,1,1,1,1
5,"H2","IO","gaussian","iii",200,0,1,1,1
5,"H1","IO","t3","i",200,0,0,0,0
1,"H0","clean","t3","iii",200,0,1,1,1
3,"H2","IO","gaussian","ii",200,0,1,0,1
2,"H0","clean","gaussian","iii",200,0,1,1,0
1,"H2","IO","gaussian","ii",500,0,1,0,0
4,"H1","IO","gaussian","i",200,0,0,0,0
3,"H2","IO","t3","ii",500,0,0,0,0
2,"H1","AO","t3","iii",500,1,1,1,1
3,"H2","AO","t3","i",500,0,0,0,0
1,"H2","clean","t3","ii",500,0,0,0,0
3,"H1","IO","t3","ii",200,0,1,0,0
4,"H0","IO","gaussian","i",200,0,0,0,0
1,"H2","IO","t3","iii",500,0,1,1,1
4,"H2","IO","gaussian","ii",200,0,1,0,1
4,"H2","IO","gaussian","i",200,0,0,0,0
2,"H2","IO","gaussian","i",500,0,0,0,0
4,"H0","IO","t3","iii",200,0,0,0,0
2,"H1","clean","gaussian","i",500,1,1,1,1
1,"H2","IO","t3","ii",500,0,1,1,1
5,"H0","IO","gaussian","i",200,0,0,0,0
4,"H0","AO","t3","iii",500,0,0,0,0
1,"H0","clean","gaussian","i",200,0,0,0,0
2,"H1","IO","t3","i",200,0,0,0,0
2,"H0","AO","t3","iii",500,0,0,0,0
4,"H2","AO","t3","ii",200,0,1,0,0
3,"H2","clean","t3","iii",200,0,0,0,0
4,"H1","clean","gaussian","iii",500,1,1,1,1
5,"H0","IO","gaussian","iii",500,0,0,0,0
1,"H2","clean","gaussian","ii",500,1,1,1,1
5,"H2","AO","t3","i",200,0,0,0,0
5,"H0","clean","gaussian","iii",500,0,0,0,0
4,"H2","AO","t3","i",200,0,0,0,0
3,"H2","IO","t3","i",200,0,0,0,0
5,"H2","IO","gaussian","iii",500,1,1,1,1
1,"H0","AO","t3","i",200,0,0,0,0
4,"H2","AO","gaussian","ii",200,0,0,0,0
2,"H2","AO","gaussian","iii",200,1,1,1,1
1,"H0","IO","t3","i",500,0,0,0,0
5,"H2","AO","gaussian","i",500,0,0,0,0
3,"H1","clean","t3","i",500,0,0,0,0
1,"H0","IO","gaussian","i",500,0,0,0,0
2,"H1","clean","gaussian","i",200,1,1,0,0
5,"H0","IO","t3","ii",500,0,1,0,0
4,"H0","IO","t3","iii",500,0,0,0,0
5,"H1","IO","gaussian","i",500,1,1,1,1
5,"H1","IO","t3","i",500,0,0,0,0
5,"H1","IO","gaussian","i",200,0,0,0,0
5,"H1","IO","t3","ii",500,0,1,0,0
3,"H0","AO","t3","i",500,0,0,0,0
3,"H2","IO","t3","ii",200,0,0,0,0
4,"H0","AO","t3","i",500,0,0,0,1
3,"H0","AO","gaussian","i",500,0,0,0,0
4,"H2","IO","gaussian","iii",200,0,1,1,1
2,"H1","IO","t3","iii",500,1,1,1,1
3,"H2","clean","gaussian","iii",500,1,1,1,1
1,"H2","clean","t3","iii",200,1,1,0,1
1,"H2","clean","gaussian","i",500,0,0,0,0
4,"H1","IO","gaussian","i",500,0,0,0,0
3,"H2","IO","t3","i",500,0,1,1,1
3,"H0","clean","t3","ii",200,0,1,0,0
1,"H1","IO","t3","i",500,0,0,0,0
2,"H0","AO","gaussian","iii",500,0,0,0,0
3,"H0","clean","gaussian","ii",500,0,1,0,0
3,"H1","IO","gaussian","ii",500,0,1,1,1
5,"H2","AO","t3","iii",500,1,1,1,1
1,"H2","clean","gaussian","ii",200,0,1,0,0
2,"H0","IO","gaussian","iii",200,0,0,0,0
1,"H2","AO","t3","ii",500,0,1,1,1
3,"H2","clean","t3","iii",500,0,0,0,0
2,"H0","AO","gaussian","ii",500,0,0,0,0
1,"H0","AO","t3","iii",500,0,0,0,0
4,"H0","AO","t3","iii",200,0,0,0,0
5,"H1","AO","gaussian","iii",200,1,1,1,1
1,"H2","IO","t3","iii",200,0,0,0,0
3,"H2","AO","t3","iii",200,0,0,0,0
4,"H0","clean","t3","iii",200,0,0,0,0
2,"H2","IO","gaussian","ii",500,0,1,1,1
2,"H1","IO","gaussian","i",500,1,1,1,1
2,"H0","IO","gaussian","iii",500,0,0,0,0
4,"H1","IO","t3","iii",200,0,0,0,0
4,"H1","clean","t3","iii",500,1,1,1,1
2,"H2","clean","gaussian","iii",200,1,1,1,1
3,"H0","IO","t3","ii",500,0,1,0,0
5,"H0","clean","gaussian","ii",500,0,1,0,0
1,"H0","clean","gaussian","ii",200,0,0,0,0
5,"H1","clean","t3","ii",500,1,1,1,1
5,"H2","IO","t3","i",200,0,0,0,0
3,"H1","AO","gaussian","ii",200,0,1,0,0
5,"H1","AO","gaussian","ii",200,0,1,0,1
1,"H2","clean","gaussian","iii",500,1,1,1,1
4,"H0","clean","t3","ii",500,0,1,0,0
2,"H2","AO","gaussian","ii",500,0,1,0,0
1,"H0","AO","t3","iii",200,0,0,0,0
3,"H0","IO","gaussian","i",200,0,0,0,0
2,"H0","clean","gaussian","iii",500,0,1,1,1
2,"H0","clean","t3","i",200,0,0,0,0
5,"H1","clean","t3","iii",500,1,1,1,1
1,"H0","AO","gaussian","ii",200,0,0,0,0
2,"H2","IO","t3","ii",500,0,1,0,0
4,"H1","clean","t3","iii",200,1,1,1,1
1,"H1","AO","t3","i",200,0,0,0,0
1,"H2","AO","t3","i",500,0,1,1,1
5,"H2","clean","gaussian","ii",500,1,1,1,1
5,"H1","clean","t3","iii",200,1,1,1,1
1,"H1","clean","gaussian","iii",200,0,0,0,0
2,"H1","clean","t3","iii",200,1,1,1,1
1,"H0","AO","t3","ii",500,1,1,1,0
5,"H1","clean","t3","i",200,0,0,0,0
4,"H2","IO","gaussian","ii",500,0,1,0,0
1,"H1","AO","t3","ii",200,1,1,1,1
5,"H0","IO","t3","iii",200,0,0,0,0
1,"H0","AO","t3","ii",200,0,1,0,0
2,"H0","AO","gaussian","i",500,0,0,0,0
3,"H2","clean","gaussian","ii",200,1,1,0,0
1,"H1","AO","t3","i",500,1,1,1,1
1,"H0","clean","gaussian","i",500,0,0,0,0
2,"H1","IO","gaussian","ii",200,0,1,0,0
2,"H1","AO","t3","i",500,0,0,0,0
5,"H2","AO","t3","i",500,0,1,1,1
4,"H1","IO","gaussian","iii",200,1,1,1,1
5,"H0","clean","t3","iii",500,0,0,0,0
4,"H0","clean","gaussian","ii",500,0,0,0,0
4,"H2","clean","t3","ii",200,0,1,0,0
1,"H2","AO","gaussian","i",500,0,0,0,0
4,"H2","IO","t3","iii",200,0,0,0,0
5,"H1","IO","gaussian","iii",200,0,0,0,0
1,"H1","IO","gaussian","ii",200,0,1,0,0
5,"H0","AO","t3","iii",500,0,0,0,0
1,"H2","AO","gaussian","ii",200,0,1,0,0
4,"H1","AO","t3","ii",200,0,1,0,0
2,"H2","IO","gaussian","iii",500,1,1,1,1
1,"H1","AO","gaussian","i",500,1,1,1,1
3,"H1","clean","gaussian","ii",200,1,1,1,1
5,"H0","AO","t3","ii",500,0,1,0,0
3,"H2","IO","gaussian","i",200,0,0,0,0
5,"H1","AO","t3","ii",500,0,1,1,1
5,"H0","clean","t3","i",500,0,0,0,0
3,"H2","clean","t3","i",200,0,0,0,0
4,"H0","IO","gaussian","ii",200,0,0,0,0
4,"H0","clean","gaussian","iii",200,0,0,0,0
1,"H1","clean","t3","iii",200,1,1,1,1
3,"H0","AO","t3","iii",200,0,0,0,0
1,"H2","AO","gaussian","iii",500,1,1,1,1
3,"H1","AO","gaussian","i",200,1,1,0,1
4,"H0","clean","t3","i",500,0,0,0,0
1,"H2","AO","t3","iii",500,0,1,1,1
2,"H1","AO","t3","ii",200,0,1,0,0
2,"H2","clean","gaussian","ii",500,0,1,0,0
4,"H0","clean","gaussian","ii",200,0,1,0,0
1,"H0","clean","t3","ii",200,0,0,0,0
5,"H0","clean","t3","i",200,0,0,0,0
2,"H2","AO","t3","ii",200,0,0,0,0
5,"H2","clean","t3","ii",500,1,1,1,1
2,"H1","AO","t3","iii",200,0,0,0,0
1,"H0","IO","gaussian","iii",200,0,0,0,0
5,"H2","IO","t3","iii",200,0,0,0,0
3,"H2","clean","t3","i",500,1,1,1,1
4,"H1","clean","t3","i",200,0,0,0,0
2,"H0","IO","t3","i",200,0,0,0,0
4,"H1","clean","gaussian","ii",500,1,1,1,1
3,"H1","clean","t3","ii",500,0,1,0,0
3,"H2","IO","gaussian","iii",500,1,1,1,1
5,"H2","clean","gaussian","iii",500,1,1,1,1
3,"H1","IO","t3","i",500,0,0,0,0
2,"H0","AO","t3","ii",500,0,1,0,0
2,"H1","clean","gaussian","ii",500,1,1,1,1
3,"H0","IO","gaussian","iii",500,0,0,0,0
2,"H1","AO","gaussian","iii",200,1,1,1,1
2,"H2","clean","gaussian","i",200,0,0,0,0
5,"H1","clean","gaussian","iii",200,1,1,1,1
1,"H1","clean","t3","iii",500,1,1,1,1
2,"H0","AO","t3","i",200,0,0,0,0
1,"H0","IO","gaussian","iii",500,0,0,0,0
5,"H1","IO","t3","ii",200,0,1,1,1
5,"H2","AO","gaussian","iii",200,0,0,0,0
2,"H0","AO","t3","ii",200,0,1,0,0
5,"H2","clean","gaussian","ii",200,1,1,1,1
1,"H0","clean","gaussian","ii",500,0,1,0,0
2,"H0","AO","gaussian","i",200,0,0,0,0
3,"H1","IO","gaussian","ii",200,0,0,0,0
3,"H1","AO","t3","ii",200,0,0,0,0
2,"H1","IO","t3","iii",200,0,0,0,0
5,"H2","clean","t3","i",200,1,0,0,0
4,"H2","IO","t3","i",200,0,0,0,0
4,"H2","AO","t3","i",500,0,0,0,0
2,"H0","AO","gaussian","iii",200,0,0,0,0
4,"H1","clean","gaussian","i",200,0,0,0,0
1,"H1","IO","t3","iii",200,1,1,1,1
2,"H1","clean","t3","iii",500,1,1,1,1
1,"H1","IO","gaussian","iii",500,1,1,1,1
3,"H0","IO","t3","iii",200,0,0,0,0
3,"H2","IO","t3","iii",500,0,1,0,1
2,"H0","IO","gaussian","i",200,0,0,0,0
1,"H2","IO","gaussian","iii",200,0,0,0,0
4,"H2","clean","t3","iii",500,1,1,1,1
5,"H1","AO","gaussian","i",500,1,1,1,1
2,"H0","clean","t3","ii",200,0,0,0,0
1,"H1","AO","gaussian","ii",500,0,1,1,1
3,"H1","AO","t3","i",500,0,0,0,0
3,"H0","AO","gaussian","iii",200,0,0,0,0
3,"H0","clean","gaussian","iii",500,1,1,1,1
2,"H2","clean","t3","iii",200,1,1,1,1
3,"H2","AO","t3","ii",200,0,1,0,0
4,"H0","clean","gaussian","i",500,0,0,0,0
2,"H1","IO","gaussian","i",200,1,1,1,1
4,"H2","IO","t3","iii",500,1,1,1,1
1,"H0","clean","t3","iii",500,0,0,0,0
5,"H0","clean","t3","ii",200,0,0,0,0
3,"H1","AO","t3","iii",200,1,1,1,1
1,"H2","IO","t3","i",500,1,1,1,1
1,"H1","AO","gaussian","ii",200,1,1,1,1
1,"H2","clean","t3","iii",500,0,0,0,0
3,"H1","clean","t3","iii",500,1,1,1,1
3,"H0","clean","t3","iii",500,0,0,0,0
2,"H1","AO","t3","ii",500,0,1,0,0
2,"H2","AO","gaussian","iii",500,0,1,0,0
2,"H1","AO","t3","i",200,1,1,1,1
5,"H2","AO","gaussian","i",200,1,1,0,1
5,"H0","clean","t3","ii",500,0,1,0,0
5,"H2","IO","gaussian","i",500,0,1,1,1
2,"H1","IO","gaussian","ii",500,0,1,0,0
2,"H2","AO","t3","iii",500,0,0,0,1
2,"H2","clean","t3","ii",200,0,1,0,0
5,"H2","IO","gaussian","ii",500,0,1,0,0
2,"H0","IO","gaussian","i",500,0,0,0,0
4,"H2","IO","t3","ii",500,0,1,1,1
3,"H2","IO","gaussian","iii",200,1,1,1,1
4,"H0","clean","gaussian","iii",500,1,1,1,1
5,"H1","AO","gaussian","i",200,0,0,0,0
2,"H2","clean","t3","i",200,0,0,0,0
2,"H2","IO","gaussian","ii",200,0,1,0,0
4,"H2","IO","gaussian","iii",500,1,1,1,1
5,"H0","AO","gaussian","ii",500,0,1,0,1
4,"H1","AO","t3","i",500,0,0,0,0
1,"H1","AO","gaussian","i",200,0,0,0,0
4,"H1","AO","gaussian","i",500,1,1,1,1
4,"H1","AO","gaussian","ii",500,0,1,1,1
2,"H0","clean","t3","iii",200,0,0,0,0
3,"H0","AO","t3","ii",200,0,0,0,0
5,"H2","AO","gaussian","ii",200,1,1,1,1
3,"H2","AO","gaussian","iii",500,0,1,1,1
4,"H0","clean","t3","iii",500,0,0,0,0
3,"H2","clean","t3","ii",500,0,1,0,0
1,"H0","clean","gaussian","iii",200,0,0,0,0
2,"H1","clean","gaussian","ii",200,0,1,0,1
1,"H0","AO","gaussian","iii",200,0,0,0,0
5,"H0","AO","t3","ii",200,0,1,0,0
3,"H2","clean","gaussian","iii",200,0,1,0,0
4,"H2","AO","gaussian","iii",200,1,1,1,1
4,"H1","IO","t3","iii",500,1,1,1,1
1,"H0","clean","t3","i",500,0,0,0,0
3,"H1","clean","gaussian","iii",200,1,1,1,1
4,"H0","AO","t3","ii",200,0,1,0,0
1,"H2","IO","gaussian","i",200,0,0,0,0
2,"H2","IO","t3","iii",500,1,1,1,1
2,"H2","AO","t3","ii",500,0,0,0,0
3,"H1","clean","gaussian","ii",500,1,1,1,1
5,"H1","clean","gaussian","i",500,0,0,0,0
5,"H1","IO","t3","iii",500,1,1,1,1
4,"H1","clean","gaussian","i",500,1,1,1,1
3,"H1","IO","gaussian","iii",500,0,1,1,0
2,"H1","IO","t3","ii",500,1,1,1,1
2,"H2","IO","t3","ii",200,0,1,0,0
5,"H0","AO","gaussian","iii",500,0,0,0,0
1,"H2","AO","gaussian","ii",500,0,1,0,0
4,"H0","clean","t3","ii",200,0,0,0,0
5,"H2","clean","t3","ii",200,1,1,1,1
1,"H0","IO","t3","ii",500,0,1,0,0
1,"H2","IO","gaussian","iii",500,1,1,1,0
3,"H0","clean","gaussian","ii",200,0,1,0,0
3,"H1","AO","t3","iii",500,1,1,1,1
5,"H0","IO","t3","i",200,0,0,0,0
4,"H0","clean","t3","i",200,0,0,0,0
3,"H1","clean","t3","ii",200,0,1,1,1
2,"H0","IO","t3","iii",200,0,0,0,0
1,"H1","IO","t3","ii",500,0,1,0,0
4,"H0","AO","gaussian","iii",200,0,0,0,0
3,"H0","IO","gaussian","i",500,0,0,0,0
1,"H1","IO","t3","iii",500,1,1,1,1
5,"H2","IO","gaussian","ii",200,0,0,0,0
4,"H0","AO","gaussian","i",200,0,0,0,0
5,"H1","IO","gaussian","ii",500,1,1,1,1
2,"H1","clean","t3","ii",500,0,1,1,1
2,"H2","AO","t3","i",200,0,0,0,0
4,"H1","AO","t3","i",200,0,1,1,1
2,"H0","AO","t3","i",500,0,0,0,0
1,"H0","IO","t3","i",200,0,0,0,0
2,"H1","IO","t3","i",500,1,1,1,1
4,"H1","AO","gaussian","i",200,1,1,1,1
3,"H1","clean","gaussian","i",200,1,0,0,0
5,"H2","clean","t3","i",500,0,0,0,0
1,"H1","clean","t3","i",500,0,0,1,0
5,"H1","clean","gaussian","iii",500,1,1,1,1
3,"H2","AO","gaussian","ii",200,0,0,0,0
2,"H2","clean","t3","i",500,0,1,1,1
1,"H0","IO","t3","ii",200,0,0,0,0
1,"H2","IO","gaussian","ii",200,0,1,0,0
2,"H2","IO","gaussian","i",200,0,0,0,0
1,"H2","clean","t3","ii",200,0,0,0,0
1,"H1","IO","t3","ii",200,0,1,0,1
3,"H2","IO","t3","iii",200,0,0,0,0
1,"H1","IO","gaussian","iii",200,1,1,1,1
5,"H0","AO","t3","i",500,0,0,0,0
2,"H2","AO","gaussian","ii",200,0,0,0,0
3,"H0","AO","t3","i",200,0,0,0,0
3,"H1","IO","t3","ii",500,0,1,0,1
3,"H0","IO","t3","iii",500,0,0,0,0
4,"H1","IO","gaussian","ii",500,0,1,1,1
5,"H1","AO","gaussian","iii",500,1,1,1,1
2,"H1","IO","gaussian","iii",200,0,0,0,0
5,"H2","AO","gaussian","iii",500,1,1,1,1
3,"H0","clean","t3","i",500,1,1,1,1
1,"H2","AO","t3","iii",200,0,0,0,0
2,"H0","AO","gaussian","ii",200,0,0,0,0
2,"H1","AO","gaussian","ii",500,1,1,1,1
5,"H2","AO","gaussian","ii",500,0,0,0,0
2,"H1","clean","gaussian","iii",500,1,1,1,1
2,"H2","AO","gaussian","i",200,0,0,0,0
4,"H1","clean","t3","ii",500,1,1,1,1
3,"H2","clean","t3","ii",200,0,1,0,0
5,"H0","clean","gaussian","iii",200,0,0,0,0
3,"H0","clean","gaussian","iii",200,1,1,0,1
1,"H0","AO","gaussian","iii",500,0,0,0,0
5,"H2","clean","t3","iii",500,1,1,1,1
1,"H1","IO","gaussian","i",200,1,1,1,1
3,"H1","AO","t3","i",200,0,0,0,0
1,"H2","clean","t3","i",200,0,0,0,0
5,"H2","IO","gaussian","i",200,0,0,0,0
1,"H2","AO","gaussian","iii",200,0,0,0,0
3,"H2","AO","gaussian","ii",500,0,1,0,0
1,"H0","IO","gaussian","i",200,0,1,0,0
4,"H0","AO","t3","i",200,0,0,0,0
5,"H0","clean","gaussian","ii",200,1,1,0,1
4,"H2","AO","gaussian","i",200,0,0,0,0
1,"H2","AO","gaussian","i",200,0,1,0,0
5,"H1","IO","gaussian","ii",200,0,1,1,1
1,"H0","AO","t3","i",500,0,0,0,0
4,"H1","IO","gaussian","iii",500,0,1,0,0
2,"H2","AO","gaussian","i",500,0,0,0,0
3,"H2","IO","gaussian","i",500,1,1,1,1
1,"H1","AO","gaussian","iii",200,1,1,1,1
4,"H0","AO","gaussian","iii",500,0,1,0,0
1,"H0","AO","gaussian","i",500,0,0,0,0
5,"H0","AO","t3","i",200,0,0,0,0
4,"H1","AO","t3","iii",500,1,1,1,1
5,"H2","AO","t3","ii",200,0,0,0,0
5,"H1","clean","t3","i",500,0,0,0,0
2,"H0","clean","gaussian","ii",200,0,1,0,0
4,"H2","clean","t3","ii",500,0,1,0,0
5,"H1","IO","gaussian","iii",500,1,1,1,1
4,"H1","clean","t3","ii",200,1,1,1,1
5,"H0","AO","gaussian","ii",200,1,1,0,1
5,"H1","AO","t3","i",200,0,0,0,1
1,"H0","clean","t3","ii",500,0,0,0,0
4,"H2","IO","gaussian","i",500,1,0,0,0
1,"H1","clean","t3","i",200,0,0,0,0
3,"H0","clean","t3","i",200,0,0,0,0
5,"H0","AO","gaussian","i",500,0,0,0,0
3,"H0","IO","gaussian","iii",200,0,0,0,0
1,"H0","AO","gaussian","i",200,1,1,0,0
1,"H0","clean","t3","i",200,0,0,0,0
1,"H2","AO","t3","i",200,0,0,0,0
5,"H2","IO","t3","ii",200,0,0,0,0
4,"H2","AO","t3","iii",500,1,1,1,1
2,"H2","AO","t3","iii",200,0,0,0,0
2,"H1","IO","t3","ii",200,0,1,0,0
3,"H0","AO","gaussian","ii",500,1,1,0,0
3,"H0","IO","t3","i",200,0,0,0,0
3,"H1","IO","t3","i",200,0,0,0,0
1,"H1","clean","gaussian","ii",200,0,1,0,1
1,"H1","IO","gaussian","ii",500,0,1,0,1
2,"H2","IO","t3","i",500,0,0,0,0
5,"H2","AO","t3","iii",200,0,0,0,0
5,"H1","AO","t3","iii",200,1,1,1,1
5,"H1","AO","gaussian","ii",500,0,1,1,1
4,"H2","clean","t3","i",200,0,0,0,0
4,"H1","clean","gaussian","iii",200,0,0,0,0
1,"H1","clean","t3","ii",500,1,1,1,1
2,"H1","clean","t3","i",200,1,1,1,1
3,"H1","IO","gaussian","i",500,1,1,1,1
5,"H0","IO","t3","ii",200,0,1,0,1
5,"H0","IO","gaussian","i",500,0,0,0,0
3,"H0","IO","gaussian","ii",500,0,1,0,0
4,"H2","AO","t3","iii",200,0,0,0,0
2,"H1","AO","gaussian","iii",500,1,1,1,1
3,"H2","clean","gaussian","i",500,0,0,0,0
4,"H2","clean","gaussian","ii",200,1,1,1,1
2,"H0","clean","t3","iii",500,0,0,0,0
3,"H2","AO","t3","ii",500,0,0,0,0
4,"H0","AO","gaussian","ii",200,0,1,0,0
3,"H2","AO","gaussian","i",200,0,0,0,0
1,"H1","AO","t3","iii",200,0,1,1,1
1,"H0","IO","t3","iii",500,0,0,0,0
5,"H0","IO","gaussian","ii",500,0,1,0,0
4,"H1","clean","t3","i",500,0,0,0,0
1,"H1","AO","t3","ii",500,1,1,1,1
5,"H1","AO","t3","ii",200,1,1,1,1
3,"H0","clean","t3","ii",500,1,1,0,1
3,"H2","AO","t3","iii",500,1,1,1,1
4,"H2","clean","gaussian","iii",200,1,1,1,1
5,"H1","clean","gaussian","i",200,1,0,0,0
3,"H0","AO","t3","ii",500,0,1,1,1
4,"H0","IO","gaussian","i",500,0,0,0,0
4,"H2","clean","gaussian","ii",500,0,1,0,0
3,"H1","AO","t3","ii",500,1,1,1,1
4,"H0","AO","gaussian","ii",500,0,1,0,0
1,"H2","clean","gaussian","iii",200,0,0,0,0
3,"H1","clean","t3","iii",200,0,1,1,1
4,"H1","IO","t3","ii",200,1,1,1,1
1,"H2","IO","t3","ii",200,0,1,1,1
2,"H2","clean","t3","iii",500,1,1,1,1
2,"H1","IO","gaussian","iii",500,1,1,1,1
5,"H2","clean","gaussian","i",200,1,1,1,1
2,"H0","clean","t3","ii",500,0,1,0,0
4,"H2","AO","gaussian","i",500,1,1,1,1
5,"H0","AO","gaussian","iii",200,0,0,0,0
5,"H2","clean","t3","iii",200,0,0,0,0
5,"H2","IO","t3","iii",500,0,1,1,1
4,"H1","clean","gaussian","ii",200,1,1,1,1
4,"H0","IO","t3","ii",500,0,1,0,0
1,"H2","AO","t3","ii",200,0,1,1,1
2,"H0","AO","t3","iii",200,0,0,0,0
1,"H0","IO","gaussian","ii",500,0,1,0,1
4,"H1","IO","gaussian","ii",200,1,1,1,1
2,"H0","IO","t3","ii",500,0,1,1,1
3,"H0","AO","gaussian","i",200,0,0,0,0
4,"H0","IO","t3","ii",200,0,0,0,0
2,"H1","AO","gaussian","i",200,1,1,1,1
4,"H2","clean","gaussian","i",500,1,1,1,1
2,"H2","IO","t3","i",200,0,0,0,0
1,"H2","IO","gaussian","i",500,0,0,0,0
3,"H0","clean","gaussian","i",200,0,0,0,0
5,"H2","clean","gaussian","i",500,0,0,0,0
3,"H1","clean","t3","i",200,0,0,0,0
4,"H2","IO","t3","ii",200,0,0,0,0
2,"H2","clean","t3","ii",500,0,1,1,1
3,"H2","IO","gaussian","ii",500,0,1,0,0
3,"H0","clean","gaussian","i",500,0,0,0,0
4,"H0","IO","gaussian","iii",200,0,0,0,0
5,"H0","IO","t3","i",500,0,0,0,0
3,"H1","IO","t3","iii",500,1,1,1,1
1,"H0","AO","gaussian","ii",500,0,1,0,0
4,"H1","IO","t3","ii",500,0,1,0,0
3,"H0","clean","t3","iii",200,0,0,0,0
5,"H1","AO","t3","i",500,1,1,1,1
5,"H1","clean","t3","ii",200,0,1,0,0
2,"H1","clean","gaussian","iii",200,1,1,1,1
4,"H1","AO","t3","iii",200,0,0,0,0
4,"H2","clean","t3","iii",200,0,0,0,0
3,"H1","IO","gaussian","i",200,1,0,0,0
2,"H0","IO","t3","i",500,0,0,0,0
4,"H1","AO","t3","ii",500,1,1,1,1
4,"H0","AO","gaussian","i",500,0,0,0,0
2,"H0","IO","t3","ii",200,0,0,0,0
4,"H0","AO","t3","ii",500,0,1,0,0
